date,kospi_price,kospi_return,anomaly_flag,regime_hmm,regime_cusum,vix,usd_krw,us_10y,inflation_exp,bok_rate,anomaly_frequency_weekly
2020-04-24,1889.010009765625,-0.013432688141660765,0.0,1.0,1.0,35.93,1233.88,0.6,1.11,0.75,0.0
2020-04-27,1922.77001953125,0.017871800356321854,0.0,1.0,1.0,33.29,1224.16,0.67,1.17,0.75,0.0
2020-04-28,1934.0899658203125,0.005887311625454972,0.0,1.0,1.0,33.57,1224.83,0.62,1.14,0.75,0.0
2020-04-29,1947.56005859375,0.006964563702559934,0.0,1.0,1.0,31.23,1219.2,0.63,1.14,0.75,0.0
2020-05-04,1895.3699951171875,-0.02679766574913578,0.0,1.0,0.0,35.97,1228.81,0.64,1.07,0.5,0.0
2020-05-06,1928.760009765625,0.017616620889038037,0.0,1.0,0.0,34.12,1222.03,0.72,1.1,0.5,0.0
2020-05-07,1928.6099853515625,-7.778283109505235e-05,0.0,1.0,0.0,31.44,1224.76,0.63,1.08,0.5,0.0
2020-05-08,1945.8199462890625,0.008923505046751545,0.0,1.0,1.0,27.98,1216.47,0.69,1.12,0.5,0.0
2020-05-11,1935.4000244140625,-0.005355028811824147,0.0,1.0,1.0,27.57,1220.2,0.73,1.13,0.5,0.0
2020-05-12,1922.1700439453125,-0.006835786040023106,0.0,1.0,1.0,33.04,1222.0,0.69,1.09,0.5,0.0
2020-05-13,1940.4200439453125,0.009494477378568122,0.0,1.0,1.0,35.28,1223.86,0.64,1.07,0.5,0.0
2020-05-14,1924.9599609375,-0.007967389873163033,0.0,1.0,1.0,32.61,1227.76,0.63,1.06,0.5,0.0
2020-05-15,1927.280029296875,0.001205255385283488,0.0,1.0,1.0,31.89,1230.71,0.64,1.09,0.5,0.0
2020-05-18,1937.1099853515625,0.005100429571863296,0.0,1.0,1.0,29.3,1232.32,0.73,1.17,0.5,0.0
2020-05-19,1980.6099853515625,0.022456133275315926,1.0,1.0,1.0,30.53,1225.19,0.7,1.15,0.5,0.2
2020-05-20,1989.6400146484375,0.004559216283700707,0.0,1.0,1.0,27.99,1230.02,0.68,1.16,0.5,0.2
2020-05-21,1998.31005859375,0.004357594279106092,0.0,1.0,1.0,29.53,1230.53,0.68,1.14,0.5,0.2
2020-05-22,1970.1300048828125,-0.014101942583809257,0.0,1.0,1.0,28.16,1236.53,0.66,1.12,0.5,0.2
2020-05-25,1994.5999755859375,0.012420485268727521,0.0,1.0,1.0,28.16,1236.53,0.66,1.12,0.5,0.2
2020-05-26,2029.780029296875,0.01763764872232243,1.0,1.0,1.0,28.01,1234.24,0.69,1.13,0.5,0.2
2020-05-27,2031.199951171875,0.000699544706571853,0.0,1.0,1.0,27.62,1238.03,0.68,1.14,0.5,0.2
2020-05-28,2028.5400390625,-0.0013095274583088123,0.0,1.0,1.0,28.59,1239.28,0.7,1.18,0.5,0.2
2020-05-29,2029.5999755859375,0.0005225120051992604,0.0,1.0,1.0,27.51,1236.61,0.65,1.15,0.5,0.2
2020-06-01,2065.080078125,0.01748132783102707,0.0,1.0,1.0,28.23,1224.79,0.66,1.18,0.5,0.2
2020-06-02,2087.18994140625,0.01070654039785457,0.0,1.0,1.0,26.84,1225.07,0.68,1.18,0.5,0.0
2020-06-03,2147.0,0.028655781348511544,1.0,1.0,1.0,25.66,1216.08,0.77,1.21,0.5,0.2
2020-06-04,2151.179931640625,0.001946870815382029,1.0,1.0,1.0,25.81,1218.77,0.82,1.22,0.5,0.4
2020-06-05,2181.8701171875,0.014266675276888074,0.0,1.0,1.0,24.52,1202.79,0.91,1.27,0.5,0.4
2020-06-08,2184.2900390625,0.0011091044585731513,0.0,1.0,1.0,25.81,1197.84,0.88,1.28,0.5,0.4
2020-06-09,2188.919921875,0.002119628222306602,0.0,1.0,1.0,27.57,1197.04,0.84,1.26,0.5,0.4
2020-06-10,2195.68994140625,0.003092858474900595,0.0,1.0,1.0,27.57,1189.9,0.75,1.27,0.5,0.2
2020-06-11,2176.780029296875,-0.008612287077866765,1.0,1.0,1.0,40.79,1196.34,0.66,1.21,0.5,0.2
2020-06-12,2132.300048828125,-0.020433842588641116,0.0,0.0,0.0,36.09,1204.52,0.71,1.21,0.5,0.2
2020-06-15,2030.8199462890625,-0.04759184927788851,1.0,0.0,0.0,34.4,1212.21,0.71,1.23,0.5,0.4
2020-06-16,2138.050048828125,0.05280138336980844,1.0,0.0,1.0,33.67,1207.26,0.75,1.27,0.5,0.6
2020-06-17,2141.050048828125,0.001403147696025231,1.0,1.0,1.0,33.47,1215.02,0.74,1.26,0.5,0.8
2020-06-18,2133.47998046875,-0.0035356802441486312,0.0,1.0,1.0,32.94,1211.65,0.71,1.28,0.5,0.6
2020-06-19,2141.320068359375,0.0036747885906585065,0.0,1.0,1.0,35.12,1208.38,0.7,1.3,0.5,0.6
2020-06-22,2126.72998046875,-0.0068135950838043025,0.0,1.0,1.0,31.77,1210.73,0.71,1.34,0.5,0.4
2020-06-23,2131.239990234375,0.002120631113043725,0.0,1.0,1.0,31.37,1206.43,0.72,1.38,0.5,0.2
2020-06-24,2161.510009765625,0.014203008422303931,0.0,1.0,1.0,33.84,1199.55,0.69,1.33,0.5,0.0
2020-06-25,2112.3701171875,-0.022734057374757755,0.0,1.0,0.0,32.22,1203.59,0.68,1.33,0.5,0.0
2020-06-26,2134.64990234375,0.010547292339996961,0.0,1.0,0.0,34.73,1203.44,0.64,1.32,0.5,0.0
2020-06-29,2093.47998046875,-0.01928649837605556,0.0,1.0,0.0,31.78,1200.91,0.64,1.34,0.5,0.0
2020-06-30,2108.330078125,0.007093498765115891,0.0,1.0,0.0,30.43,1200.5,0.66,1.34,0.5,0.0
2020-07-01,2106.699951171875,-0.0007731839383398054,0.0,1.0,0.0,28.62,1201.84,0.69,1.37,0.5,0.0
2020-07-02,2135.3701171875,0.013609041002577094,0.0,1.0,0.0,27.68,1199.84,0.68,1.41,0.5,0.0
2020-07-03,2152.409912109375,0.007979785230074476,0.0,1.0,1.0,27.68,1199.84,0.68,1.41,0.5,0.0
2020-07-06,2187.929931640625,0.016502441905426934,0.0,1.0,1.0,27.94,1192.66,0.69,1.45,0.5,0.0
2020-07-07,2164.169921875,-0.010859584405341738,0.0,1.0,1.0,29.43,1194.43,0.65,1.43,0.5,0.0
2020-07-08,2158.8798828125,-0.0024443732486203462,0.0,1.0,1.0,28.08,1194.63,0.67,1.42,0.5,0.0
2020-07-09,2167.89990234375,0.004178101617908991,0.0,1.0,1.0,29.26,1197.84,0.62,1.39,0.5,0.0
2020-07-10,2150.25,-0.008141474763049938,0.0,1.0,1.0,27.29,1204.34,0.65,1.41,0.5,0.0
2020-07-13,2186.06005859375,0.016653904705848266,0.0,1.0,1.0,32.19,1200.13,0.64,1.42,0.5,0.0
2020-07-14,2183.610107421875,-0.001120715399489547,0.0,1.0,1.0,29.52,1205.24,0.63,1.41,0.5,0.0
2020-07-15,2201.8798828125,0.008366775427778084,0.0,1.0,1.0,27.76,1201.97,0.64,1.41,0.5,0.0
2020-07-16,2183.760009765625,-0.008229274079987636,0.0,1.0,1.0,28.0,1202.97,0.62,1.41,0.5,0.0
2020-07-17,2201.18994140625,0.007981614995548725,0.0,1.0,1.0,25.68,1203.86,0.64,1.46,0.5,0.0
2020-07-20,2198.199951171875,-0.001358351761531651,0.0,1.0,1.0,24.46,1202.26,0.62,1.46,0.5,0.0
2020-07-21,2228.830078125,0.013934185985581493,0.0,1.0,1.0,24.84,1194.64,0.61,1.48,0.5,0.0
2020-07-22,2228.659912109375,-7.634768450726082e-05,0.0,1.0,1.0,24.32,1194.83,0.6,1.48,0.5,0.0
2020-07-23,2216.18994140625,-0.005595277518732122,0.0,1.0,1.0,26.08,1198.91,0.59,1.49,0.5,0.0
2020-07-24,2200.43994140625,-0.007106791573111337,0.0,1.0,1.0,25.84,1203.17,0.59,1.51,0.5,0.0
2020-07-27,2217.860107421875,0.007916674155847403,0.0,1.0,1.0,24.74,1195.94,0.62,1.52,0.5,0.0
2020-07-28,2256.989990234375,0.01764307977836621,0.0,1.0,1.0,25.44,1198.15,0.59,1.51,0.5,0.0
2020-07-29,2263.159912109375,0.0027336948332497,0.0,1.0,1.0,24.1,1192.98,0.58,1.53,0.5,0.0
2020-07-30,2267.010009765625,0.00170120442468491,0.0,1.0,1.0,24.76,1196.3,0.55,1.52,0.5,0.0
2020-07-31,2249.3701171875,-0.007781126903779634,0.0,1.0,1.0,24.46,1192.68,0.55,1.55,0.5,0.0
